mac_address,model_name,model_alias,model_type,device_type,vendor,rack,location_scope,location_site,placement_type,team_name,usage_purpose,owner_name,utilization_week_7,utilization_week_8,automation_filter,infra_tickets,device_repurpose
F0:46:3B:5C:02:B4,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0,STB,Sercomm,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,LRQA,,Rebecca,70.59,27.1,,,
F0:46:3B:5B:F6:0F,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0,STB,Sercomm,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,LRQA,,Rufus,4.8,2.19,,,
F0:46:3B:5B:FC:A2,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BCOM_ROGERS_WEST,STB,Sercomm,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,LRQA,,Priyanka,2.24,2.13,,,
F0:46:3B:5B:EC:2B,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BCOM_ROGERS_EAST,STB,Sercomm,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,LRQA,,Priyanka,0.76,6.66,,,
74:06:35:06:DD:EA,COESST11AEI,Sercomm-Realtek-ES1,SERCOMM_REALTEK_ES1,STB,Sercomm,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,LRQA,,Sithara,39.5,52.43,,,
F0:46:3B:00:EC:31,SCXI11AIC,Sercomm-Realtek-Xione,SERCOMM_REALTEK_XIONE_US,STB,Sercomm,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,LRQA,,Rufus,13.91,2.09,Need to create filter,,
B0:45:30:FD:8A:BB,SKXI11ADSSOFT,ALPACA_FOXTEL,FOXTEL_PUCK,STB,ALPACA_FOXTEL,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,LRQA,,Lokesh,6.99,8.63,,,
D4:52:EE:DA:D6:13,SKXI11ADS,SKY-XIONE-UK,SKY_XIONE_UK,STB,SKY,CIEC-MOD7-R5R9,Offshore,Chennai,Rack,LRQA,,Sumathi,20.69,13.25,,,
D4:52:EE:D8:CE:56,SKXI11ADS,SKY-XIONE-UK,SKY_XIONE_UK,STB,SKY,CIEC-MOD7-R5R9,Offshore,Chennai,Rack,LRQA,,Sumathi,20.7,15.07,,,
D4:52:EE:DD:56:5A,SKXI11ADS,SKY-XIONE-UK,SKY_XIONE_UK,STB,SKY,CIEC-MOD7-R5R9,Offshore,Chennai,Rack,LRQA,,Sumathi,13.21,9.36,,,
38:A6:CE:FF:FC:75,SKXI11ADS,SKY-XIONE-UK,SKY-XIONE-UK_RDKE,STB,SKY,208.04,Onsite,Downingtown,Rack,LRQA,,Megha,5.09,6.9,,,Devices are picked from DHC now.
38:A6:CE:FF:FB:76,SKXI11ADS,SKY-XIONE-UK,SKY-XIONE-UK_RDKE,STB,SKY,208.04,Onsite,Downingtown,Rack,LRQA,,Megha,5.39,19.91,,,We moved these devices to private pool last week
38:A6:CE:FF:FD:14,SKXI11ADS,SKY-XIONE-UK,SKY-XIONE-UK_RDKE,STB,SKY,208.04,Onsite,Downingtown,Rack,LRQA,,Megha,1.92,19.05,,,
38:A6:CE:FF:FA:0E,SKXI11ADS,SKY-XIONE-UK,SKY-XIONE-UK_RDKE,STB,SKY,208.05,Onsite,Downingtown,Rack,LRQA,,Megha,3.12,13.19,,,
F0:46:3B:5C:01:E2,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0_RDKE,STB,Sercomm,141.01,Onsite,Downingtown,Rack,LRQA,,Megha,7.7,11.72,,,
F0:46:3B:5B:E3:CD,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0_RDKE,STB,Sercomm,220.07,Onsite,Downingtown,Rack,LRQA,,Kiran,,,,,Devices are picked from DHC now.
F0:46:3B:5B:EC:28,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0_RDKE,STB,Sercomm,212.05,Onsite,Downingtown,Rack,LRQA,,Kiran,10.07,12.39,,,Filters are disabled now
F0:46:3B:5B:FC:D2,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0_RDKE,STB,Sercomm,220.08,Onsite,Downingtown,Rack,LRQA,,Kiran,7.88,10.59,,,Filters are disabled now
F0:46:3B:5B:F7:14,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0_RDKE,STB,Sercomm,212.05,Onsite,Downingtown,Rack,LRQA,,Kiran,2.35,3.0,,,Move to CI (In Progress)
F0:46:3B:5B:EC:43,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0_RDKE,STB,Sercomm,1717-43CL-RNR1,Onsite,Philadelphia,Rack,LRQA,,Kiran,0.03,8.2,,,Filters are disabled now
04:B8:6A:91:BC:76,SKXI11BED,Sky-Broadcom-XiOne-UK,SERCOMM_BCOM_XIONE_UK,STB,Sky,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,WebApps,,Varsha,0.7,1.62,,,
D4:52:EE:D7:77:87,SKXI11ADS,SKY-XIONE-UK,SKY_XIONE_UK,STB,SKY,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,WebApps,,Varsha,13.59,10.8,,,
F0:46:3B:5B:E0:13,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0,STB,Sercomm,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,WebApps,,Varsha,2.28,2.17,,,
BC:96:E5:F7:25:25,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BCOM_ROGERS_EAST,STB,Sercomm,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,WebApps,,Varsha,,,,,
F0:46:3B:FB:05:C5,COESST11BEI,Sercomm-Broadcom-ES1,SERCOMM_BCOM_ES1,STB,Sercomm,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,WebApps,,Varsha,0.77,0.55,,,
E8:51:9E:D3:9A:3C,XUSPTC11MWR,Element-Apache-4K-Panel,Element-Apache-4K-Board,BOARD,Element,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,WebApps,,Varsha,0.12,3.95,,,
B0:45:30:FD:88:C9,SKXI11ADSSOFT,ALPACA_FOXTEL,FOXTEL_PUCK,STB,ALPACA_FOXTEL,1717-CL43-RDR11,Onsite,Philadelphia,Rack,LRQA,,,0.12,2.67,,,need this device in future
D4:DA:CD:FF:C1:B4,SKXI11AENSOIT,Sky-XiOne-IT,XIONE_ALPACA_IT,STB,Sky,CIEC-MOD7-R5R10,Offshore,Chennai,Rack,LRQA,,,1.41,0.28,,,need this device in future
D4:52:EE:FF:F9:DC,SKTL11MEIFT,Llama-X3-Converter-FT,FOXTEL_PANEL,PANEL,Llama,CIEC-P3-RDKVQA-06,Offshore,Chennai,Rack,LRQA,,,3.74,4.01,,,low priority device & replaced with WNC Realtek when we get devices
